folder,documents,datasets,zim,other,total
geography/geodata/elevation/usa/Copernicus_DSM_COG_30_N26_00_W077_00_DEM,1,11,0,3,15
geography/geodata/elevation/usa/Copernicus_DSM_COG_30_N26_00_W078_00_DEM,1,11,0,3,15
geography/geodata/elevation/usa/Copernicus_DSM_COG_30_N26_00_W079_00_DEM,1,11,0,3,15
geography/geodata/elevation/usa/Copernicus_DSM_COG_30_N26_00_W080_00_DEM,1,11,0,3,15
geography/geodata/elevation/usa/Copernicus_DSM_COG_30_N26_00_W081_00_DEM,1,11,0,3,15
geography/geodata/elevation/usa/Copernicus_DSM_COG_30_N26_00_W082_00_DEM,1,11,0,3,15
geography/geodata/elevation/usa/Copernicus_DSM_COG_30_N26_00_W083_00_DEM,1,11,0,3,15
geography/geodata/elevation/usa/Copernicus_DSM_COG_30_N26_00_W098_00_DEM,1,11,0,3,15
geography/geodata/elevation/usa/Copernicus_DSM_COG_30_N26_00_W099_00_DEM,1,11,0,3,15
geography/geodata/elevation/usa/Copernicus_DSM_COG_30_N26_00_W100_00_DEM,1,11,0,3,15
geography/geodata/elevation/usa/Copernicus_DSM_COG_30_N26_00_W101_00_DEM,1,11,0,3,15
geography/geodata/elevation/usa/Copernicus_DSM_COG_30_N26_00_W102_00_DEM,1,11,0,3,15
geography/geodata/elevation/usa/Copernicus_DSM_COG_30_N26_00_W103_00_DEM,1,11,0,3,15
geography/geodata/elevation/usa/Copernicus_DSM_COG_30_N26_00_W104_00_DEM,1,11,0,3,15
geography/geodata/elevation/usa/Copernicus_DSM_COG_30_N26_00_W105_00_DEM,1,11,0,3,15
geography/geodata/elevation/usa/Copernicus_DSM_COG_30_N26_00_W106_00_DEM,1,11,0,3,15
geography/geodata/elevation/usa/Copernicus_DSM_COG_30_N26_00_W107_00_DEM,1,11,0,3,15
geography/geodata/elevation/usa/Copernicus_DSM_COG_30_N26_00_W108_00_DEM,1,11,0,3,15
geography/geodata/elevation/usa/Copernicus_DSM_COG_30_N26_00_W109_00_DEM,1,11,0,3,15
geography/geodata/elevation/usa/Copernicus_DSM_COG_30_N26_00_W110_00_DEM,1,11,0,3,15
geography/geodata/elevation/usa/Copernicus_DSM_COG_30_N26_00_W112_00_DEM,1,11,0,3,15
geography/geodata/elevation/usa/Copernicus_DSM_COG_30_N26_00_W113_00_DEM,1,11,0,3,15
geography/geodata/elevation/usa/Copernicus_DSM_COG_30_N26_00_W114_00_DEM,1,11,0,3,15
geography/geodata/elevation/usa/Copernicus_DSM_COG_30_N26_00_W115_00_DEM,1,11,0,3,15
geography/geodata/elevation/usa/Copernicus_DSM_COG_30_N26_00_W174_00_DEM,1,11,0,3,15
geography/geodata/elevation/usa/Copernicus_DSM_COG_30_N27_00_W078_00_DEM,1,11,0,3,15
geography/geodata/elevation/usa/Copernicus_DSM_COG_30_N27_00_W079_00_DEM,1,11,0,3,15
geography/geodata/elevation/usa/Copernicus_DSM_COG_30_N27_00_W081_00_DEM,1,11,0,3,15
geography/geodata/elevation/usa/Copernicus_DSM_COG_30_N27_00_W082_00_DEM,1,11,0,3,15
geography/geodata/elevation/usa/Copernicus_DSM_COG_30_N27_00_W083_00_DEM,1,11,0,3,15
geography/geodata/elevation/usa/Copernicus_DSM_COG_30_N27_00_W097_00_DEM,1,11,0,3,15
geography/geodata/elevation/usa/Copernicus_DSM_COG_30_N27_00_W098_00_DEM,1,11,0,3,15
geography/geodata/elevation/usa/Copernicus_DSM_COG_30_N27_00_W099_00_DEM,1,11,0,3,15
geography/geodata/elevation/usa/Copernicus_DSM_COG_30_N27_00_W100_00_DEM,1,11,0,3,15
geography/geodata/elevation/usa/Copernicus_DSM_COG_30_N27_00_W101_00_DEM,1,11,0,3,15
geography/geodata/elevation/usa/Copernicus_DSM_COG_30_N27_00_W102_00_DEM,1,11,0,3,15
geography/geodata/elevation/usa/Copernicus_DSM_COG_30_N27_00_W103_00_DEM,1,11,0,3,15
geography/geodata/elevation/usa/Copernicus_DSM_COG_30_N27_00_W104_00_DEM,1,11,0,3,15
geography/geodata/elevation/usa/Copernicus_DSM_COG_30_N27_00_W105_00_DEM,1,11,0,3,15
geography/geodata/elevation/usa/Copernicus_DSM_COG_30_N27_00_W106_00_DEM,1,11,0,3,15
geography/geodata/elevation/usa/Copernicus_DSM_COG_30_N27_00_W107_00_DEM,1,11,0,3,15
geography/geodata/elevation/usa/Copernicus_DSM_COG_30_N27_00_W108_00_DEM,1,11,0,3,15
